annual_income,debt_to_income,credit_score,employment_years,loan_amount_requested,loan_purpose_consol,loan_purpose_home,zip_income_index,employer_size_score,education_score,label_approved
71152.0,0.261,607.0,1.5,32552.0,0,1,0.547,34.6,56.6,0
100549.0,0.235,764.0,11.3,36720.0,0,1,0.693,66.8,91.2,1
61494.0,0.31,626.0,10.0,23809.0,0,1,0.602,60.6,27.3,1
110036.0,0.309,548.0,7.3,1000.0,1,0,0.623,18.1,27.3,1
58740.0,0.238,668.0,6.0,41676.0,0,1,0.361,0.0,46.2,0
80222.0,0.198,558.0,1.7,13121.0,0,0,0.559,60.4,44.5,1
93174.0,0.434,708.0,0.1,28384.0,0,0,0.454,54.1,69.6,1
95091.0,0.126,702.0,5.5,20759.0,0,1,0.879,33.6,74.3,1
60129.0,0.311,514.0,11.1,4062.0,1,0,0.35,82.0,29.0,0
43884.0,0.242,635.0,12.9,39767.0,1,0,0.513,76.1,54.7,1
88069.0,0.283,643.0,0.7,7549.0,0,0,0.606,30.8,62.4,1
48356.0,0.264,723.0,6.2,12331.0,0,0,0.667,54.9,40.1,1
74307.0,0.278,753.0,7.6,38148.0,1,0,0.268,19.4,59.2,0
43306.0,0.234,669.0,3.5,25597.0,1,0,0.55,29.2,40.9,1
91381.0,0.396,643.0,0.0,11872.0,0,0,0.835,88.8,93.4,1
18000.0,0.518,628.0,10.3,29688.0,0,1,0.542,52.4,84.4,1
78905.0,0.279,743.0,3.5,24948.0,0,0,0.437,64.7,72.3,1
65521.0,0.243,717.0,6.8,7097.0,0,0,0.177,28.7,75.6,1
119317.0,0.25,611.0,12.7,27974.0,1,0,0.195,54.9,31.0,1
113708.0,0.293,574.0,9.1,12374.0,0,0,0.338,100.0,36.4,1
41842.0,0.417,632.0,5.5,2547.0,0,1,0.721,64.8,75.1,1
76109.0,0.433,699.0,6.9,20761.0,1,0,0.476,69.9,56.0,0
49405.0,0.378,625.0,6.9,1000.0,1,0,0.587,31.8,24.0,0
69457.0,0.336,724.0,10.7,26189.0,1,0,0.663,100.0,39.5,1
78217.0,0.066,713.0,0.1,16075.0,1,0,0.327,42.3,93.1,1
86933.0,0.285,619.0,7.4,18293.0,0,1,0.911,5.1,29.4,1
153766.0,0.444,651.0,8.0,19486.0,1,0,0.698,74.0,40.9,1
37867.0,0.243,803.0,1.0,30922.0,0,0,0.468,87.5,41.7,1
38507.0,0.154,714.0,2.5,1000.0,0,0,0.447,54.4,77.1,1
99412.0,0.422,742.0,3.5,6020.0,0,0,0.345,61.8,57.3,1
82963.0,0.355,759.0,9.6,9817.0,1,0,0.573,53.0,82.3,1
63255.0,0.264,651.0,2.4,21492.0,1,0,0.557,48.0,77.1,1
141701.0,0.093,690.0,12.9,19340.0,0,1,0.85,30.2,47.9,1
56933.0,0.376,640.0,9.9,19579.0,0,1,0.762,57.2,58.3,0
56245.0,0.358,683.0,8.8,13605.0,1,0,0.232,22.1,94.9,1
81896.0,0.351,593.0,2.1,28069.0,1,0,0.61,81.6,43.6,1
18000.0,0.269,632.0,5.3,24416.0,1,0,0.451,97.1,67.6,1
27242.0,0.325,754.0,5.3,18453.0,0,0,0.432,33.5,21.2,1
41897.0,0.353,646.0,11.8,25749.0,0,1,0.703,69.9,92.0,0
88023.0,0.223,636.0,2.0,7451.0,1,0,0.383,24.7,79.4,0
58896.0,0.166,663.0,12.2,40292.0,0,1,0.447,51.4,53.6,0
47907.0,0.272,611.0,7.0,22935.0,0,0,0.559,44.0,45.8,1
72364.0,0.367,684.0,15.0,22582.0,0,0,0.365,49.2,64.0,0
71167.0,0.21,636.0,5.6,13900.0,0,1,0.323,80.9,66.6,1
74616.0,0.316,712.0,12.6,22894.0,1,0,0.479,67.4,83.0,1
62281.0,0.216,749.0,2.6,1000.0,0,0,0.444,71.8,43.0,1
55448.0,0.208,575.0,3.7,22844.0,1,0,0.618,22.7,26.3,0
67725.0,0.38,740.0,12.3,55425.0,0,1,0.495,17.8,41.2,0
74657.0,0.251,742.0,9.5,23099.0,1,0,0.566,48.4,69.1,0
40429.0,0.344,618.0,8.0,22653.0,1,0,0.613,22.2,76.5,1
109067.0,0.617,746.0,10.8,31378.0,1,0,0.511,51.8,71.7,1
104243.0,0.306,714.0,6.9,24971.0,1,0,0.586,24.6,46.9,0
84056.0,0.179,800.0,7.6,28014.0,1,0,0.534,69.8,60.0,0
58306.0,0.275,701.0,3.7,1000.0,0,1,0.587,56.6,44.9,1
85205.0,0.41,508.0,3.9,21524.0,1,0,0.596,69.3,65.7,0
25781.0,0.307,671.0,18.0,22352.0,0,0,0.689,54.7,54.5,1
66807.0,0.166,664.0,2.8,25609.0,0,0,0.904,44.4,65.8,1
76506.0,0.184,814.0,5.1,25697.0,0,0,0.485,75.4,9.5,1
47082.0,0.396,760.0,14.5,14678.0,1,0,0.763,15.8,69.5,0
73676.0,0.394,677.0,9.3,43490.0,1,0,0.76,30.4,65.4,1
45772.0,0.343,701.0,5.5,27744.0,0,0,0.748,37.1,58.6,1
74434.0,0.298,722.0,8.4,41947.0,1,0,0.582,24.8,45.0,1
18000.0,0.283,701.0,9.2,5556.0,0,1,0.253,44.6,39.7,1
41873.0,0.275,739.0,7.6,24104.0,1,0,0.589,70.3,62.3,1
53300.0,0.404,690.0,4.8,36328.0,0,1,0.43,29.2,63.1,1
52214.0,0.216,647.0,9.8,39931.0,1,0,0.333,23.4,74.8,1
71288.0,0.113,646.0,0.0,19065.0,1,0,0.709,60.9,11.0,1
84724.0,0.398,708.0,0.0,16096.0,0,1,0.579,63.5,63.9,1
40608.0,0.353,690.0,10.6,19924.0,0,0,0.558,84.7,6.9,1
104270.0,0.282,820.0,5.5,28324.0,1,0,0.725,34.8,82.8,1
55424.0,0.25,799.0,6.5,25580.0,1,0,0.649,30.5,43.1,1
76193.0,0.25,607.0,5.7,34318.0,0,0,0.928,48.7,66.9,1
40601.0,0.425,696.0,8.0,34501.0,1,0,0.533,50.8,68.2,1
43672.0,0.281,736.0,6.7,1995.0,0,0,0.787,61.6,52.0,0
73808.0,0.324,768.0,6.9,1000.0,0,1,0.476,51.5,55.5,0
58366.0,0.32,694.0,10.0,22180.0,0,0,0.799,77.2,57.7,1
66067.0,0.134,736.0,4.9,26395.0,1,0,0.706,49.1,76.3,1
113718.0,0.238,698.0,10.0,20925.0,0,1,0.789,28.6,55.0,1
80931.0,0.424,663.0,7.8,30288.0,0,0,0.365,87.7,74.9,1
61724.0,0.202,722.0,13.9,10670.0,1,0,0.593,57.1,65.8,0
82318.0,0.321,666.0,2.6,34522.0,0,0,0.561,56.2,61.5,0
65583.0,0.467,659.0,18.1,8448.0,1,0,0.531,21.4,48.4,0
56300.0,0.137,719.0,3.7,40554.0,1,0,0.563,64.1,63.6,1
59356.0,0.276,687.0,17.4,9495.0,0,1,0.641,42.0,50.0,1
57955.0,0.346,674.0,6.0,30963.0,0,1,0.445,47.2,82.5,1
18000.0,0.327,621.0,8.5,18117.0,1,0,0.415,33.3,34.6,1
72620.0,0.278,626.0,6.0,23852.0,1,0,0.363,58.1,44.3,1
103681.0,0.437,688.0,6.6,27330.0,0,0,0.774,63.3,50.8,1
102738.0,0.188,581.0,7.9,10561.0,0,1,0.911,85.4,36.7,1
89785.0,0.075,744.0,9.7,29754.0,1,0,0.604,56.4,52.6,1
20094.0,0.431,581.0,1.4,13604.0,1,0,0.527,44.2,49.7,0
87794.0,0.282,639.0,10.8,28203.0,1,0,0.302,50.1,43.6,1
134661.0,0.303,691.0,3.6,34597.0,1,0,0.73,24.6,85.5,1
87449.0,0.251,621.0,3.2,17786.0,0,0,0.669,50.1,64.9,1
23469.0,0.436,652.0,2.3,12604.0,0,0,0.269,18.3,54.3,0
61574.0,0.329,656.0,0.0,13222.0,1,0,0.865,57.7,91.1,1
87864.0,0.519,701.0,0.0,12385.0,0,0,0.379,10.5,51.0,0
61475.0,0.076,762.0,16.5,23707.0,1,0,0.402,32.4,45.7,1
42427.0,0.229,682.0,5.6,8005.0,0,1,0.384,82.2,51.9,0
105596.0,0.223,762.0,0.0,15563.0,1,0,0.391,26.3,43.5,1
35679.0,0.311,586.0,6.4,11134.0,1,0,0.445,53.3,93.8,1
41142.0,0.343,703.0,8.4,29001.0,1,0,0.387,52.0,52.2,0
77080.0,0.173,676.0,7.4,30425.0,0,0,0.529,50.4,44.6,1
77696.0,0.523,820.0,11.8,23945.0,0,1,0.794,76.4,70.7,1
94142.0,0.353,781.0,7.7,21083.0,0,1,0.419,14.7,64.4,1
99730.0,0.104,788.0,7.4,23460.0,1,0,0.376,36.1,100.0,1
36937.0,0.329,613.0,5.0,31896.0,1,0,0.637,70.8,52.0,0
56327.0,0.186,808.0,13.0,19745.0,1,0,0.374,36.8,82.9,1
30912.0,0.343,614.0,19.2,7273.0,1,0,0.667,16.5,50.4,1
65124.0,0.418,680.0,9.2,18954.0,0,0,0.48,47.1,60.7,0
48134.0,0.25,527.0,13.5,5791.0,0,0,0.769,24.4,2.6,0
108513.0,0.45,682.0,6.5,14457.0,0,0,0.441,45.2,71.6,0
109310.0,0.24,781.0,13.2,29236.0,1,0,0.974,84.4,94.0,1
105268.0,0.232,534.0,8.9,31716.0,1,0,0.326,61.0,39.2,1
66055.0,0.382,667.0,13.7,37618.0,1,0,0.596,54.3,79.7,0
38042.0,0.368,733.0,8.5,16382.0,1,0,0.345,24.0,90.1,1
37795.0,0.256,667.0,4.9,19654.0,1,0,0.784,20.3,36.9,1
63650.0,0.119,788.0,9.5,29650.0,0,1,0.551,12.0,48.7,1
74706.0,0.304,686.0,0.0,41503.0,0,1,0.673,61.5,45.2,0
39764.0,0.3,613.0,5.7,8003.0,0,1,0.555,69.8,47.2,1
60864.0,0.412,698.0,8.1,45855.0,0,0,0.566,56.3,82.6,1
102779.0,0.149,695.0,11.3,30515.0,1,0,0.545,69.7,60.0,1
131538.0,0.1,709.0,0.0,39613.0,1,0,0.644,75.9,42.9,1
62094.0,0.173,638.0,16.9,23617.0,1,0,0.832,16.9,35.1,1
72083.0,0.319,558.0,8.0,16453.0,0,1,0.819,0.0,50.2,0
58708.0,0.185,673.0,8.2,25096.0,1,0,0.503,57.8,22.2,1
39981.0,0.348,581.0,7.0,20578.0,1,0,0.458,40.0,84.3,0
73597.0,0.299,756.0,0.0,10874.0,0,0,0.842,67.9,43.2,1
87641.0,0.196,621.0,0.0,22229.0,0,1,0.412,34.6,38.5,0
91747.0,0.323,678.0,17.7,18372.0,1,0,0.584,32.4,56.7,0
38708.0,0.344,612.0,9.9,21415.0,0,0,0.506,86.4,75.0,0
66261.0,0.402,728.0,11.9,46503.0,0,1,0.699,56.3,91.2,0
38560.0,0.143,790.0,5.9,30809.0,0,1,0.308,71.4,61.8,1
50715.0,0.301,678.0,8.8,33435.0,1,0,0.721,69.5,17.5,0
66175.0,0.101,598.0,14.7,27327.0,0,1,0.492,19.2,97.4,1
72340.0,0.281,671.0,4.4,12982.0,1,0,0.564,20.5,11.3,1
89369.0,0.333,656.0,12.6,27997.0,1,0,0.532,51.6,95.8,1
110554.0,0.286,655.0,8.5,14100.0,1,0,0.677,42.9,59.0,1
109047.0,0.245,622.0,7.2,1000.0,1,0,0.765,32.3,76.2,1
64981.0,0.162,580.0,5.4,36463.0,0,1,0.502,40.6,41.6,1
49354.0,0.394,695.0,8.2,12926.0,1,0,0.547,50.2,71.8,0
95726.0,0.208,722.0,6.9,1000.0,0,0,0.519,73.3,37.0,0
78961.0,0.25,666.0,4.5,21481.0,0,0,0.395,72.3,80.0,1
81147.0,0.208,677.0,2.1,3766.0,1,0,0.382,59.3,64.5,1
79800.0,0.309,650.0,11.1,32775.0,0,1,0.366,27.5,65.9,1
27553.0,0.422,745.0,4.0,12832.0,0,0,0.169,47.2,86.2,1
54815.0,0.216,781.0,2.8,23059.0,0,1,0.332,38.9,72.8,1
103028.0,0.276,715.0,0.0,16278.0,1,0,0.409,60.3,57.1,1
85070.0,0.246,682.0,9.6,20184.0,1,0,0.518,3.7,91.0,1
34111.0,0.125,611.0,13.0,24485.0,0,0,0.382,77.4,32.6,1
49607.0,0.369,720.0,5.1,33637.0,0,0,0.539,31.0,70.8,0
74230.0,0.267,751.0,2.8,35136.0,1,0,0.38,13.9,64.3,1
110096.0,0.313,504.0,18.0,31302.0,1,0,0.623,80.2,69.8,0
48660.0,0.133,692.0,7.7,7375.0,1,0,0.213,63.0,65.0,1
33865.0,0.312,627.0,11.1,15920.0,0,1,0.446,76.6,59.4,0
67752.0,0.199,708.0,14.4,17691.0,0,0,0.282,61.7,25.2,1
113332.0,0.364,797.0,9.6,36964.0,1,0,0.765,51.7,75.1,0
70361.0,0.395,649.0,1.6,7563.0,1,0,0.412,29.3,64.1,0
56867.0,0.334,820.0,14.7,32535.0,1,0,0.343,54.5,88.4,1
46363.0,0.398,736.0,13.2,17707.0,0,1,0.595,51.2,71.1,1
112552.0,0.295,820.0,8.0,4410.0,0,0,0.775,6.8,65.0,1
66086.0,0.31,643.0,7.8,20811.0,1,0,0.43,56.3,22.0,0
43701.0,0.297,582.0,8.6,12371.0,0,0,0.693,35.1,79.6,1
112237.0,0.538,594.0,11.5,12091.0,1,0,0.447,55.5,42.3,0
18000.0,0.113,657.0,0.5,18738.0,1,0,0.59,51.6,38.0,1
75145.0,0.464,727.0,0.4,16976.0,0,0,0.617,9.0,63.8,1
81589.0,0.205,763.0,10.9,32551.0,0,0,0.798,65.3,53.2,1
34742.0,0.385,656.0,2.6,30942.0,0,1,0.442,13.5,67.7,1
109402.0,0.471,640.0,2.7,12015.0,1,0,0.599,55.1,70.1,0
26222.0,0.378,702.0,9.7,23729.0,0,0,0.972,35.5,81.5,1
43885.0,0.09,601.0,2.8,30436.0,0,1,0.526,67.7,46.1,1
114527.0,0.332,678.0,4.9,36403.0,0,1,0.38,58.4,64.2,1
54387.0,0.459,717.0,6.8,14571.0,1,0,0.588,44.1,47.6,1
37870.0,0.391,626.0,8.6,11307.0,0,1,0.507,55.1,27.7,1
94390.0,0.413,612.0,9.9,1000.0,0,0,0.523,81.6,44.0,1
74691.0,0.446,773.0,0.9,26211.0,0,1,0.396,45.5,61.9,1
61186.0,0.287,764.0,7.6,17101.0,1,0,0.515,39.4,58.6,0
47207.0,0.306,694.0,11.0,15996.0,0,1,0.511,77.1,66.7,0
70877.0,0.364,762.0,13.0,1000.0,0,0,0.483,53.4,43.7,1
57046.0,0.278,623.0,6.0,15698.0,1,0,0.215,57.0,57.3,0
83017.0,0.283,685.0,0.0,31956.0,0,0,0.746,53.4,73.5,1
68758.0,0.307,636.0,0.0,23241.0,0,1,0.502,26.5,53.2,0
46664.0,0.3,673.0,3.2,9673.0,1,0,0.397,79.7,36.4,0
97470.0,0.359,728.0,4.6,7748.0,0,1,0.453,88.4,44.1,1
43989.0,0.306,536.0,10.6,29548.0,1,0,0.719,22.4,49.3,1
98349.0,0.277,636.0,9.3,10925.0,0,1,0.394,77.9,65.7,1
119174.0,0.346,646.0,5.0,21068.0,1,0,0.465,43.9,70.2,1
63963.0,0.395,688.0,7.2,18764.0,0,1,0.471,40.9,55.8,0
85264.0,0.598,675.0,16.2,25350.0,0,1,0.577,28.6,61.9,1
24741.0,0.281,653.0,6.2,12998.0,1,0,0.487,33.0,48.6,1
57113.0,0.312,625.0,12.5,35546.0,0,1,0.582,64.2,36.2,1
59135.0,0.298,690.0,9.0,43594.0,1,0,0.629,73.0,97.5,1
63761.0,0.183,807.0,0.6,19297.0,0,0,0.626,29.2,46.8,1
94656.0,0.288,820.0,7.0,17513.0,0,1,0.391,75.0,73.5,1
66980.0,0.264,551.0,2.4,11276.0,0,0,0.627,60.6,95.8,1
58083.0,0.161,738.0,3.4,8807.0,0,0,0.338,38.6,39.2,1
73708.0,0.24,651.0,3.3,38777.0,0,0,0.593,30.1,40.5,1
60461.0,0.215,604.0,3.0,19872.0,0,0,0.623,48.3,48.3,1
57950.0,0.143,548.0,2.9,13990.0,0,0,0.529,21.9,59.5,1
66842.0,0.349,731.0,6.1,5658.0,1,0,0.567,40.8,42.9,1
29942.0,0.211,820.0,0.0,36467.0,0,1,0.641,68.2,64.4,1
102026.0,0.256,683.0,0.2,9987.0,1,0,0.717,59.9,71.3,1
55557.0,0.114,687.0,5.6,20160.0,1,0,0.494,85.2,26.1,1
54963.0,0.277,704.0,5.7,30080.0,1,0,0.52,61.3,53.3,1
44854.0,0.415,765.0,4.4,30132.0,0,0,0.809,28.3,66.2,1
90405.0,0.132,806.0,3.2,28710.0,1,0,0.348,66.5,57.2,1
29358.0,0.256,666.0,9.0,24827.0,0,0,0.73,19.9,56.6,1
92724.0,0.223,674.0,9.0,11609.0,1,0,0.462,33.5,89.4,1
84482.0,0.226,817.0,0.0,31523.0,0,0,0.553,39.4,67.4,1
63316.0,0.176,693.0,6.6,23482.0,0,1,0.381,50.3,81.8,1
62131.0,0.401,691.0,11.7,17215.0,0,1,0.358,0.0,31.7,1
118638.0,0.238,677.0,9.4,1000.0,1,0,0.397,44.4,66.1,1
50512.0,0.521,739.0,7.0,10367.0,0,1,0.05,50.1,66.9,1
38422.0,0.322,657.0,11.4,15872.0,0,0,0.412,15.3,46.4,1
105038.0,0.449,592.0,3.9,19648.0,1,0,0.348,78.3,72.3,1
64289.0,0.122,639.0,7.0,18512.0,0,0,0.449,54.4,52.2,1
18000.0,0.239,655.0,6.1,32696.0,0,0,0.438,72.2,40.3,1
107473.0,0.206,791.0,5.9,15300.0,1,0,0.32,29.8,38.0,1
61320.0,0.319,733.0,12.3,18301.0,1,0,0.606,38.3,47.0,1
82355.0,0.254,579.0,0.0,31186.0,1,0,0.184,40.8,52.3,1
78417.0,0.302,820.0,5.3,34173.0,0,1,0.339,96.5,0.0,1
68729.0,0.287,712.0,9.0,11913.0,0,0,0.607,54.3,50.5,1
96821.0,0.218,610.0,4.0,17827.0,1,0,0.227,71.0,53.7,1
23976.0,0.355,653.0,11.3,4883.0,0,0,0.703,34.8,84.7,1
36165.0,0.356,655.0,11.6,25323.0,0,0,0.736,22.8,65.8,1
29808.0,0.25,639.0,4.2,22186.0,1,0,0.432,57.1,56.1,1
90149.0,0.327,766.0,0.0,46459.0,1,0,0.875,69.3,61.1,1
89299.0,0.351,658.0,0.0,17523.0,0,1,0.659,32.8,87.2,1
73344.0,0.134,699.0,13.1,11076.0,1,0,0.693,41.2,71.2,1
27356.0,0.422,666.0,10.2,40261.0,0,1,0.809,51.7,60.7,1
117035.0,0.283,722.0,4.6,44021.0,1,0,0.451,39.4,67.3,1
101287.0,0.307,643.0,0.0,24868.0,0,1,0.535,100.0,20.7,1
68422.0,0.385,611.0,5.7,16844.0,1,0,0.528,58.3,57.8,0
92626.0,0.205,724.0,10.4,19611.0,0,0,0.73,47.7,42.9,1
74878.0,0.421,782.0,14.8,1000.0,0,1,0.775,63.9,51.3,1
74260.0,0.39,658.0,4.1,33001.0,1,0,0.856,34.3,50.4,1
78186.0,0.26,721.0,9.5,12471.0,0,0,0.666,0.0,23.8,1
54467.0,0.238,650.0,3.4,37053.0,1,0,0.616,45.0,48.2,0
68317.0,0.34,700.0,7.6,18385.0,1,0,0.512,51.3,65.8,1
103863.0,0.44,608.0,4.8,1426.0,1,0,0.788,49.7,39.0,0
56556.0,0.305,699.0,0.0,32074.0,0,0,0.534,70.9,78.4,1
54833.0,0.157,644.0,5.8,1000.0,1,0,0.486,34.4,66.0,1
78448.0,0.236,665.0,1.4,19789.0,0,0,0.5,22.7,38.0,1
45265.0,0.318,677.0,11.7,29540.0,0,1,0.571,80.0,59.4,1
82800.0,0.429,584.0,15.3,30779.0,1,0,0.599,28.5,33.0,0
114200.0,0.243,701.0,4.8,22484.0,0,1,0.552,41.8,47.3,1
99442.0,0.245,700.0,4.5,28639.0,0,1,0.454,69.2,43.1,1
92184.0,0.409,725.0,3.7,27923.0,1,0,0.195,55.0,46.1,1
46699.0,0.223,668.0,3.5,29038.0,0,1,0.54,44.1,89.0,0
18080.0,0.33,621.0,4.9,8292.0,0,1,0.025,62.1,42.7,1
75626.0,0.208,721.0,4.4,33684.0,0,1,0.451,83.4,54.7,1
72906.0,0.293,622.0,5.5,20104.0,0,1,0.4,47.3,29.4,1
71678.0,0.149,724.0,10.7,17627.0,1,0,0.342,63.7,41.2,1
62742.0,0.145,681.0,9.3,22512.0,0,0,0.859,70.0,76.9,1
101322.0,0.28,746.0,1.6,18694.0,1,0,0.465,58.7,57.8,0
43252.0,0.329,594.0,10.5,33367.0,0,1,0.544,33.3,23.9,1
94624.0,0.307,635.0,3.6,19882.0,1,0,0.744,28.4,50.8,1
70627.0,0.333,666.0,15.7,25076.0,0,0,0.733,50.7,21.3,0
63691.0,0.401,631.0,0.8,19110.0,1,0,0.624,34.0,33.1,0
50667.0,0.198,688.0,16.4,15920.0,1,0,0.107,26.1,91.2,1
37736.0,0.294,702.0,4.6,16764.0,0,0,0.602,95.7,91.7,1
68902.0,0.337,685.0,11.3,1000.0,1,0,0.609,88.8,53.8,1
73552.0,0.272,679.0,3.4,9323.0,1,0,0.418,65.0,90.4,1
57650.0,0.282,773.0,6.6,15692.0,0,0,0.34,64.7,94.9,1
91103.0,0.341,568.0,10.2,42281.0,0,0,0.567,43.0,21.4,0
18000.0,0.281,734.0,14.0,19521.0,1,0,0.576,34.5,49.6,0
88365.0,0.34,784.0,17.9,18929.0,1,0,0.933,60.2,82.2,1
92680.0,0.286,751.0,0.0,4528.0,1,0,0.413,59.5,51.8,1
89116.0,0.341,603.0,11.1,22310.0,1,0,0.553,83.1,58.3,1
26951.0,0.355,678.0,8.4,28384.0,1,0,0.675,16.6,62.1,0
50423.0,0.252,649.0,2.2,2362.0,1,0,0.659,29.2,50.5,1
51726.0,0.399,587.0,13.6,32103.0,0,0,0.682,39.6,34.9,0
127964.0,0.381,640.0,9.3,15593.0,1,0,0.556,42.2,56.0,1
84130.0,0.383,638.0,3.6,22791.0,1,0,0.478,78.0,80.2,1
65449.0,0.328,761.0,10.9,18061.0,1,0,0.654,45.1,71.4,1
57354.0,0.235,767.0,12.0,7107.0,1,0,0.69,55.9,20.2,1
64261.0,0.214,711.0,10.7,1000.0,0,1,0.643,55.3,56.4,1
71989.0,0.227,592.0,7.8,25748.0,0,1,0.21,62.1,54.2,0
54765.0,0.463,763.0,5.1,19587.0,1,0,0.649,100.0,41.0,1
73976.0,0.4,655.0,10.7,23235.0,1,0,0.708,32.9,59.3,1
90540.0,0.154,766.0,4.7,14365.0,0,1,0.695,59.5,55.4,1
48633.0,0.258,589.0,11.1,26147.0,0,0,0.693,95.9,63.2,1
78647.0,0.229,758.0,4.5,26873.0,0,0,0.592,50.2,53.7,1
84369.0,0.37,820.0,9.7,39255.0,0,0,0.343,86.7,52.0,1
79712.0,0.327,703.0,13.9,14152.0,0,0,0.656,67.1,53.2,1
79750.0,0.307,642.0,7.2,1860.0,1,0,0.201,57.5,63.2,1
50487.0,0.375,726.0,9.3,14832.0,0,0,0.544,35.0,41.8,1
103062.0,0.343,592.0,5.1,39496.0,0,0,0.476,23.9,66.9,1
52253.0,0.458,765.0,0.0,21301.0,1,0,0.812,47.4,62.9,1
68680.0,0.111,698.0,4.2,36005.0,0,0,0.746,18.5,27.6,1
67300.0,0.504,776.0,8.9,37132.0,1,0,0.489,38.7,57.7,1
107537.0,0.432,636.0,7.3,19857.0,1,0,0.218,51.3,33.8,0
75962.0,0.13,695.0,6.8,1000.0,0,0,0.68,72.1,21.8,1
48578.0,0.218,661.0,8.9,32938.0,1,0,0.444,32.7,65.7,0
60170.0,0.427,575.0,9.7,27540.0,0,0,0.534,28.2,53.6,0
